video_path,class_gloss,class_id,feature_path
ASL-Citizen/videos/7815210671274675-HEAR 2.mp4,hear,18,features_cache/7815210671274675-HEAR 2.pt
ASL-Citizen/videos/5497746471053726-MONEY.mp4,money,86,features_cache/5497746471053726-MONEY.pt
ASL-Citizen/videos/4843002553575395-THEY.mp4,they,19,features_cache/4843002553575395-THEY.pt
ASL-Citizen/videos/9487153935170489-seedHEAR 1.mp4,hear,18,features_cache/9487153935170489-seedHEAR 1.pt
ASL-Citizen/videos/010922087768955313-FROM.mp4,from,35,features_cache/010922087768955313-FROM.pt
ASL-Citizen/videos/37186838838285174-WHAT 1.mp4,what,11,features_cache/37186838838285174-WHAT 1.pt
ASL-Citizen/videos/8320934408924416-LATER.mp4,later,44,features_cache/8320934408924416-LATER.pt
ASL-Citizen/videos/45011841193956603-DRINK 2.mp4,drink,51,features_cache/45011841193956603-DRINK 2.pt
ASL-Citizen/videos/8969965061622676-WHERE.mp4,where,30,features_cache/8969965061622676-WHERE.pt
ASL-Citizen/videos/9414634753752724-COMPUTER.mp4,computer,89,features_cache/9414634753752724-COMPUTER.pt
ASL-Citizen/videos/5911924789322505-HELLO.mp4,hello,0,features_cache/5911924789322505-HELLO.pt
ASL-Citizen/videos/67900573933741-HEAR 1.mp4,hear,18,features_cache/67900573933741-HEAR 1.pt
ASL-Citizen/videos/31967288972175223-THERE.mp4,there,37,features_cache/31967288972175223-THERE.pt
ASL-Citizen/videos/9346193415975794-SAD.mp4,sad,71,features_cache/9346193415975794-SAD.pt
ASL-Citizen/videos/36220708618174635-seedEAT.mp4,eat,50,features_cache/36220708618174635-seedEAT.pt
ASL-Citizen/videos/009982843301954203-BOY.mp4,boy,22,features_cache/009982843301954203-BOY.pt
ASL-Citizen/videos/8405493387581946-WHAT 2.mp4,what,11,features_cache/8405493387581946-WHAT 2.pt
ASL-Citizen/videos/5103197530403352-WOMAN.mp4,woman,25,features_cache/5103197530403352-WOMAN.pt
ASL-Citizen/videos/7764581525163443-COME.mp4,come,56,features_cache/7764581525163443-COME.pt
ASL-Citizen/videos/3438291198863894-SICK.mp4,sick,74,features_cache/3438291198863894-SICK.pt
ASL-Citizen/videos/5567962318004358-MY.mp4,my,15,features_cache/5567962318004358-MY.pt
ASL-Citizen/videos/8913437775524151-HIS.mp4,his,17,features_cache/8913437775524151-HIS.pt
ASL-Citizen/videos/6202882933229494-HIS.mp4,his,17,features_cache/6202882933229494-HIS.pt
ASL-Citizen/videos/394147254494269-NIGHT.mp4,night,46,features_cache/394147254494269-NIGHT.pt
ASL-Citizen/videos/5057296262250581-THERE.mp4,there,37,features_cache/5057296262250581-THERE.pt
ASL-Citizen/videos/9580150858397796-SHOP.mp4,shop,80,features_cache/9580150858397796-SHOP.pt
ASL-Citizen/videos/6339527606075348-WORK.mp4,work,53,features_cache/6339527606075348-WORK.pt
ASL-Citizen/videos/7278705413828479-NIGHT.mp4,night,46,features_cache/7278705413828479-NIGHT.pt
ASL-Citizen/videos/5587532045405372-SIDE.mp4,side,68,features_cache/5587532045405372-SIDE.pt
ASL-Citizen/videos/25111790510667253-ARRIVE.mp4,arrive,58,features_cache/25111790510667253-ARRIVE.pt
ASL-Citizen/videos/057571220614212715-WATER.mp4,water,88,features_cache/057571220614212715-WATER.pt
ASL-Citizen/videos/32093967764378073-HERE.mp4,here,36,features_cache/32093967764378073-HERE.pt
ASL-Citizen/videos/5971513744254144-BAD.mp4,bad,4,features_cache/5971513744254144-BAD.pt
ASL-Citizen/videos/690312412059152-HOUSE.mp4,house,83,features_cache/690312412059152-HOUSE.pt
ASL-Citizen/videos/8812184229216875-BECAUSE.mp4,because,99,features_cache/8812184229216875-BECAUSE.pt
ASL-Citizen/videos/8172430267718573-seedNEED.mp4,need,93,features_cache/8172430267718573-seedNEED.pt
ASL-Citizen/videos/3475516025029921-WATCH.mp4,watch,64,features_cache/3475516025029921-WATCH.pt
ASL-Citizen/videos/11933967548667712-YESTERDAY.mp4,yesterday,42,features_cache/11933967548667712-YESTERDAY.pt
ASL-Citizen/videos/049529284510214655-TALK 2.mp4,talk,69,features_cache/049529284510214655-TALK 2.pt
ASL-Citizen/videos/23364729653954308-NIGHT.mp4,night,46,features_cache/23364729653954308-NIGHT.pt
ASL-Citizen/videos/3108143937298642-MOUTH.mp4,mouth,87,features_cache/3108143937298642-MOUTH.pt
ASL-Citizen/videos/25866202861571086-HOW 2.mp4,how,33,features_cache/25866202861571086-HOW 2.pt
ASL-Citizen/videos/5938554372186748-EAT 2.mp4,eat,50,features_cache/5938554372186748-EAT 2.pt
ASL-Citizen/videos/4701606875522637-BOY.mp4,boy,22,features_cache/4701606875522637-BOY.pt
ASL-Citizen/videos/8761272343943907-COME.mp4,come,56,features_cache/8761272343943907-COME.pt
ASL-Citizen/videos/8042345903835753-LIKE.mp4,like,78,features_cache/8042345903835753-LIKE.pt
ASL-Citizen/videos/5968816675394137-ME.mp4,me,14,features_cache/5968816675394137-ME.pt
ASL-Citizen/videos/5749565703888491-AGAIN.mp4,again,96,features_cache/5749565703888491-AGAIN.pt
ASL-Citizen/videos/5965960580596394-THINK.mp4,think,61,features_cache/5965960580596394-THINK.pt
ASL-Citizen/videos/18555657453585117-BEFORE.mp4,before,97,features_cache/18555657453585117-BEFORE.pt
ASL-Citizen/videos/8487114823108493-THANK YOU.mp4,thankyou,6,features_cache/8487114823108493-THANK YOU.pt
ASL-Citizen/videos/06509213312274453-SICK.mp4,sick,74,features_cache/06509213312274453-SICK.pt
ASL-Citizen/videos/9605571410103191-YES.mp4,yes,8,features_cache/9605571410103191-YES.pt
ASL-Citizen/videos/018835854358505655-MONEY 2.mp4,money,86,features_cache/018835854358505655-MONEY 2.pt
ASL-Citizen/videos/43139871301294774-YESTERDAY.mp4,yesterday,42,features_cache/43139871301294774-YESTERDAY.pt
ASL-Citizen/videos/14991994807763365-WANT 2.mp4,want,79,features_cache/14991994807763365-WANT 2.pt
ASL-Citizen/videos/9203138462369036-HELLO.mp4,hello,0,features_cache/9203138462369036-HELLO.pt
ASL-Citizen/videos/597048989228887-WATCH.mp4,watch,64,features_cache/597048989228887-WATCH.pt
ASL-Citizen/videos/656039289068084-ASK.mp4,ask,66,features_cache/656039289068084-ASK.pt
ASL-Citizen/videos/06132878384310203-WORK.mp4,work,53,features_cache/06132878384310203-WORK.pt
ASL-Citizen/videos/973653586698978-MAN.mp4,man,24,features_cache/973653586698978-MAN.pt
ASL-Citizen/videos/7179499364614612-WORK.mp4,work,53,features_cache/7179499364614612-WORK.pt
ASL-Citizen/videos/3695916203727827-NIGHT 2.mp4,night,46,features_cache/3695916203727827-NIGHT 2.pt
ASL-Citizen/videos/8086639764142398-MUST.mp4,must,92,features_cache/8086639764142398-MUST.pt
ASL-Citizen/videos/36995928249155363-BYE.mp4,bye,2,features_cache/36995928249155363-BYE.pt
ASL-Citizen/videos/8479700648926225-THERE.mp4,there,37,features_cache/8479700648926225-THERE.pt
ASL-Citizen/videos/6863475336528158-seedNIGHT.mp4,night,46,features_cache/6863475336528158-seedNIGHT.pt
ASL-Citizen/videos/8461864474082759-MONEY 2.mp4,money,86,features_cache/8461864474082759-MONEY 2.pt
ASL-Citizen/videos/27973404455034934-DRINK 2.mp4,drink,51,features_cache/27973404455034934-DRINK 2.pt
ASL-Citizen/videos/8459253067700705-WANT.mp4,want,79,features_cache/8459253067700705-WANT.pt
ASL-Citizen/videos/9622466467630577-TELL.mp4,tell,65,features_cache/9622466467630577-TELL.pt
ASL-Citizen/videos/1728137508720451-EXCITED.mp4,excited,75,features_cache/1728137508720451-EXCITED.pt
ASL-Citizen/videos/6746849097856722-seedWOMAN.mp4,woman,25,features_cache/6746849097856722-seedWOMAN.pt
ASL-Citizen/videos/7274767352225469-RESTAURANT.mp4,restaurant,81,features_cache/7274767352225469-RESTAURANT.pt
ASL-Citizen/videos/3909320209952225-YOUR.mp4,your,16,features_cache/3909320209952225-YOUR.pt
ASL-Citizen/videos/2815788565679065-MOTHER.mp4,mother,26,features_cache/2815788565679065-MOTHER.pt
ASL-Citizen/videos/3211415289488089-MY.mp4,my,15,features_cache/3211415289488089-MY.pt
