video_path,class_gloss,class_id,feature_path
ASL-Citizen/videos/15890366051589533-APPLE.mp4,apple,70,features_cache/15890366051589533-APPLE.pt
ASL-Citizen/videos/35618482303951104-IMPOSSIBLE.mp4,impossible,1218,features_cache/35618482303951104-IMPOSSIBLE.pt
ASL-Citizen/videos/6958143575951994-PARK.mp4,park,1687,features_cache/6958143575951994-PARK.pt
ASL-Citizen/videos/8006032738002744-SOCCER 2.mp4,soccer2,2190,features_cache/8006032738002744-SOCCER 2.pt
ASL-Citizen/videos/37542279833186454-STINK.mp4,stink,2280,features_cache/37542279833186454-STINK.pt
ASL-Citizen/videos/9498964909837952-ROSE.mp4,rose,1978,features_cache/9498964909837952-ROSE.pt
ASL-Citizen/videos/9618808117704574-HUG.mp4,hug,1191,features_cache/9618808117704574-HUG.pt
ASL-Citizen/videos/15543213389651633-TUBE.mp4,tube,2511,features_cache/15543213389651633-TUBE.pt
ASL-Citizen/videos/9162908944303221-COUNT.mp4,count,534,features_cache/9162908944303221-COUNT.pt
ASL-Citizen/videos/14154575310664197-NICE.mp4,nice,1578,features_cache/14154575310664197-NICE.pt
ASL-Citizen/videos/996512226187074-EASY TO_DO.mp4,easytodo,746,features_cache/996512226187074-EASY TO_DO.pt
ASL-Citizen/videos/0033742275375785447-INFLUENCE.mp4,influence,1228,features_cache/0033742275375785447-INFLUENCE.pt
ASL-Citizen/videos/02808154918358552-PEACOCK.mp4,peacock,1702,features_cache/02808154918358552-PEACOCK.pt
ASL-Citizen/videos/8068093518563271-CIRCUSWHEEL.mp4,circuswheel,444,features_cache/8068093518563271-CIRCUSWHEEL.pt
ASL-Citizen/videos/6652814499755777-NOSE.mp4,nose,1593,features_cache/6652814499755777-NOSE.pt
ASL-Citizen/videos/23247991626849585-GYM.mp4,gym,1069,features_cache/23247991626849585-GYM.pt
ASL-Citizen/videos/20880000068819649-WEAVE.mp4,weave,2625,features_cache/20880000068819649-WEAVE.pt
ASL-Citizen/videos/13621431540213602-SMOOTH.mp4,smooth,2171,features_cache/13621431540213602-SMOOTH.pt
ASL-Citizen/videos/4520498201410337-BACKPACK.mp4,backpack1,121,features_cache/4520498201410337-BACKPACK.pt
ASL-Citizen/videos/16994877911771145-WE.mp4,we,2621,features_cache/16994877911771145-WE.pt
ASL-Citizen/videos/7090729284366466-DOWNHILL.mp4,downhill,693,features_cache/7090729284366466-DOWNHILL.pt
ASL-Citizen/videos/19003684436528423-JUICE 2.mp4,juice1,1283,features_cache/19003684436528423-JUICE 2.pt
