video_path,class_gloss,class_id,feature_path
ASL-Citizen/videos/15890366051589533-APPLE.mp4,apple,69,
ASL-Citizen/videos/9618808117704574-HUG.mp4,hug,999,
ASL-Citizen/videos/9162908944303221-COUNT.mp4,count,450,
ASL-Citizen/videos/996512226187074-EASY TO_DO.mp4,easytodo,624,
ASL-Citizen/videos/8068093518563271-CIRCUSWHEEL.mp4,circuswheel,377,
ASL-Citizen/videos/23247991626849585-GYM.mp4,gym,897,
ASL-Citizen/videos/4520498201410337-BACKPACK.mp4,backpack,113,
ASL-Citizen/videos/7090729284366466-DOWNHILL.mp4,downhill,580,
ASL-Citizen/videos/7448818785190525-CAPTURE.mp4,capture,306,
ASL-Citizen/videos/21344274764159632-ANYONE.mp4,anyone,66,
ASL-Citizen/videos/44939873429204336-CEMETERY.mp4,cemetery,331,
ASL-Citizen/videos/48967843716521897-FAIL.mp4,fail,697,
ASL-Citizen/videos/6235541652821013-ALL OF_SUDDEN.mp4,allofsudden,46,
ASL-Citizen/videos/9060451576078816-COOL 3.mp4,cool,440,
ASL-Citizen/videos/03909340585346133-FASHION.mp4,fashion,710,
ASL-Citizen/videos/34318091362618364-BECOME.mp4,become,153,
ASL-Citizen/videos/1676037390807208-GREET.mp4,greet,882,
ASL-Citizen/videos/8517954107198269-EMPTY 2.mp4,empty,648,
ASL-Citizen/videos/721478559560571-EACH OTHER.mp4,eachother,610,
ASL-Citizen/videos/7552681133614059-ALASKA.mp4,alaska,39,
ASL-Citizen/videos/6585783944135442-EXPERIMENT.mp4,experiment,685,
ASL-Citizen/videos/7721480534101262-EVERY NIGHT.mp4,everynight,673,
ASL-Citizen/videos/2911495969703426-GET TOGETHER.mp4,gettogether,832,
ASL-Citizen/videos/9533248897839621-BETWEEN.mp4,between,171,
ASL-Citizen/videos/6743634201232205-BULLSHIT.mp4,bullshit,263,
ASL-Citizen/videos/31263202270120893-ADVANTAGE.mp4,advantage,27,
ASL-Citizen/videos/3628340866937836-DONT FEEL_LIKE.mp4,dontfeellike,568,
ASL-Citizen/videos/6742655874522336-COMMUNITY.mp4,community,417,
ASL-Citizen/videos/19749527870729988-CLIENT.mp4,client,388,
ASL-Citizen/videos/7809503445047001-BREAKFAST.mp4,breakfast,244,
ASL-Citizen/videos/6796499805319471-CORNER.mp4,corner,445,
ASL-Citizen/videos/5290373884784241-HATBRIM.mp4,hatbrim,928,
ASL-Citizen/videos/5064877659011977-GOODY GOODY_SHOE_OPPOSITE.mp4,goodygoodyshoeopposite,858,
ASL-Citizen/videos/7069069415498499-CASTLE 2.mp4,castle,316,
ASL-Citizen/videos/010850214999561736-CELEBRATE.mp4,celebrate,328,
ASL-Citizen/videos/49288220098651747-DOG.mp4,dog,562,
ASL-Citizen/videos/6750594223002664-FLOAT 3.mp4,float,757,
ASL-Citizen/videos/13187210101793911-FIRED.mp4,fired,744,
ASL-Citizen/videos/8450645349294537-ADVERTISE.mp4,advertise,28,
ASL-Citizen/videos/45613794376693106-DEMOTE.mp4,demote,510,
ASL-Citizen/videos/654679171689897-APPLE.mp4,apple,69,
ASL-Citizen/videos/5460269220331138-HUG.mp4,hug,999,
ASL-Citizen/videos/8675914629662917-COUNT.mp4,count,450,
ASL-Citizen/videos/6022620990262424-EASY TO_DO.mp4,easytodo,624,
ASL-Citizen/videos/4499250795706189-CIRCUSWHEEL.mp4,circuswheel,377,
ASL-Citizen/videos/9121237989915896-GYM.mp4,gym,897,
ASL-Citizen/videos/8875256912597131-BACKPACK.mp4,backpack,113,
ASL-Citizen/videos/3237841089626472-DOWNHILL.mp4,downhill,580,
ASL-Citizen/videos/2746482938137922-CAPTURE.mp4,capture,306,
ASL-Citizen/videos/931782741467386-ANYONE.mp4,anyone,66,
ASL-Citizen/videos/5418273984027029-CEMETERY.mp4,cemetery,331,
ASL-Citizen/videos/3810108088744719-FAIL.mp4,fail,697,
ASL-Citizen/videos/3140572918045199-ALL OF_SUDDEN.mp4,allofsudden,46,
ASL-Citizen/videos/613903843341741-COOL 3.mp4,cool,440,
ASL-Citizen/videos/6459252267958286-BECOME.mp4,become,153,
ASL-Citizen/videos/9778046529233306-GREET.mp4,greet,882,
ASL-Citizen/videos/6169165591640462-EACH OTHER.mp4,eachother,610,
ASL-Citizen/videos/2063128811266226-ALASKA.mp4,alaska,39,
ASL-Citizen/videos/39878139372685606-EXPERIMENT.mp4,experiment,685,
ASL-Citizen/videos/5819018923811163-ARTICLE.mp4,article,81,
ASL-Citizen/videos/030163845009707257-EVERY NIGHT.mp4,everynight,673,
ASL-Citizen/videos/8019317290688388-GET TOGETHER.mp4,gettogether,832,
ASL-Citizen/videos/23935932871880738-BETWEEN.mp4,between,171,
ASL-Citizen/videos/02362800594599035-BULLSHIT.mp4,bullshit,263,
ASL-Citizen/videos/4158330922555107-ADVANTAGE.mp4,advantage,27,
ASL-Citizen/videos/4709219515950245-COMMUNITY.mp4,community,417,
ASL-Citizen/videos/3794908792089089-CLIENT.mp4,client,388,
ASL-Citizen/videos/13959766874483237-BREAKFAST.mp4,breakfast,244,
ASL-Citizen/videos/45348925603024304-CORNER.mp4,corner,445,
ASL-Citizen/videos/23509015263340394-CASTLE 2.mp4,castle,316,
ASL-Citizen/videos/5395352613912254-CELEBRATE.mp4,celebrate,328,
ASL-Citizen/videos/11432147423106453-DOG.mp4,dog,562,
ASL-Citizen/videos/9184146468779903-BOWLING 2.mp4,bowling,227,
ASL-Citizen/videos/04939380671476301-FIRED.mp4,fired,744,
ASL-Citizen/videos/0525121513125173-DARK.mp4,dark,487,
ASL-Citizen/videos/41738678001523555-DEVOUR.mp4,devour,525,
ASL-Citizen/videos/8143823054520445-HATCH 2.mp4,hatch,929,
ASL-Citizen/videos/3665083076635902-CELLPHONE.mp4,cellphone,330,
ASL-Citizen/videos/08028498244023075-FLASHLIGHT 3.mp4,flashlight,753,
ASL-Citizen/videos/9984110117309302-BUMPY.mp4,bumpy,264,
ASL-Citizen/videos/5390411629840837-CLOCK 2.mp4,clock,391,
ASL-Citizen/videos/3635703251583551-GLASS 3.mp4,glass,839,
ASL-Citizen/videos/02417596973931868-FRISK.mp4,frisk,799,
ASL-Citizen/videos/22066071141437238-BANANA 2.mp4,banana,125,
ASL-Citizen/videos/1455478001735404-CHERRY 2.mp4,cherry,358,
ASL-Citizen/videos/4458090401198842-ELEVATOR 3.mp4,elevator,641,
ASL-Citizen/videos/461256999845691-ENVELOPE 5.mp4,envelope,659,
ASL-Citizen/videos/36182318013198267-BURY 2.mp4,bury,268,
