video_path,class_gloss,class_id,feature_path
ASL-Citizen/videos/8006032738002744-SOCCER 2.mp4,soccer,153,features_cache/8006032738002744-SOCCER 2.pt
ASL-Citizen/videos/4520498201410337-BACKPACK.mp4,backpack,273,features_cache/4520498201410337-BACKPACK.pt
ASL-Citizen/videos/19003684436528423-JUICE 2.mp4,juice,189,features_cache/19003684436528423-JUICE 2.pt
ASL-Citizen/videos/5670505226343947-KNIGHT.mp4,knight,28,features_cache/5670505226343947-KNIGHT.pt
ASL-Citizen/videos/9060451576078816-COOL 3.mp4,cool,18,features_cache/9060451576078816-COOL 3.pt
ASL-Citizen/videos/1676037390807208-GREET.mp4,greet,210,features_cache/1676037390807208-GREET.pt
ASL-Citizen/videos/8517954107198269-EMPTY 2.mp4,empty,288,features_cache/8517954107198269-EMPTY 2.pt
ASL-Citizen/videos/7054386695414354-STORY 3.mp4,story,46,features_cache/7054386695414354-STORY 3.pt
ASL-Citizen/videos/81146496428304-TOY 3.mp4,toy,39,features_cache/81146496428304-TOY 3.pt
ASL-Citizen/videos/7809503445047001-BREAKFAST.mp4,breakfast,136,features_cache/7809503445047001-BREAKFAST.pt
ASL-Citizen/videos/7069069415498499-CASTLE 2.mp4,castle,8,features_cache/7069069415498499-CASTLE 2.pt
ASL-Citizen/videos/031670126370264784-LICK ENVELOPE.mp4,lickenvelope,137,features_cache/031670126370264784-LICK ENVELOPE.pt
ASL-Citizen/videos/9076828716002219-PEEL 2.mp4,peel,68,features_cache/9076828716002219-PEEL 2.pt
ASL-Citizen/videos/49288220098651747-DOG.mp4,dog,13,features_cache/49288220098651747-DOG.pt
ASL-Citizen/videos/6750594223002664-FLOAT 3.mp4,float,69,features_cache/6750594223002664-FLOAT 3.pt
ASL-Citizen/videos/8875256912597131-BACKPACK.mp4,backpack,273,features_cache/8875256912597131-BACKPACK.pt
ASL-Citizen/videos/8673853297757075-JUICE 2.mp4,juice,189,features_cache/8673853297757075-JUICE 2.pt
ASL-Citizen/videos/62432102043786-KNIGHT.mp4,knight,28,features_cache/62432102043786-KNIGHT.pt
ASL-Citizen/videos/613903843341741-COOL 3.mp4,cool,18,features_cache/613903843341741-COOL 3.pt
ASL-Citizen/videos/9778046529233306-GREET.mp4,greet,210,features_cache/9778046529233306-GREET.pt
ASL-Citizen/videos/4883233656549113-STORY 3.mp4,story,46,features_cache/4883233656549113-STORY 3.pt
ASL-Citizen/videos/30802284724627316-TOY 3.mp4,toy,39,features_cache/30802284724627316-TOY 3.pt
ASL-Citizen/videos/13959766874483237-BREAKFAST.mp4,breakfast,136,features_cache/13959766874483237-BREAKFAST.pt
