class_gloss,video_count
shave,153
pineapple,152
erase,152
envelope,151
drown,150
magnet,123
yawn,123
handsome,123
castle,123
gloves,123
fork,123
cry,123
flashlight,123
dog,123
bury,122
pipe,122
sandwich,122
strawberry,122
cool,122
banana,122
chew,121
jacket,121
scarf,121
bow,121
necklace,121
stack,120
pop,120
slice,120
knight,120
follow,120
cloud,119
stethoscope,118
right,94
wristwatch,94
corn,94
meditate,93
kangaroo,93
peg,93
skateboarding,93
toy,92
patient,92
arrest,92
parachute,92
mix,92
sweater,92
tow,92
story,92
glass,92
microscope,92
elevator,92
shoulder,92
sharpen,92
basketball,92
cross,92
screwdriver,92
bat,91
arm,91
hairdryer,91
bark,91
windmill,91
stamp,91
lock,91
spread,91
gun,91
knitting,91
rhino,91
kiss,91
pillow,91
peel,91
float,91
oil,91
file,91
catch,91
dolphin,90
somersault,90
iron,90
bra,90
cat,90
helicopter,90
dip,89
whatfor,89
lobster,89
carrot,89
conduct,87
city,63
fall,63
autism,63
what,63
bridge,63
movie,63
hospital,63
thief,63
shop,63
serve,63
eat,63
fine,62
pour,62
policeman,62
belt,62
bed,62
plug,62
bowling,62
christmas,62
fold,62
drag,62
rockingchair,62
same,62
dentist,62
deaf,62
dark,62
cute,62
comb,62
pizza,62
candy,62
foreigner,62
nothing,62
measure,62
mail,62
magnify,62
lunch,62
model,62
basket,62
money,62
night,62
imagine,62
hurdle/trip,62
forever,62
how,62
party,62
peach,62
peas,62
hippo,62
perfume,62
bite,62
helmet,62
meat,62
breakfast,62
lickenvelope,62
welcome,62
soon,62
sneeze,62
whistle,62
about,62
bake,62
bag,62
talk,62
shirt,62
woman,62
tearrip,62
teach,62
wash,62
want,62
walk,62
soccer,62
shake,62
slip,62
clock,61
mechanic,61
stupid,61
mean,61
halloween,61
dinner,61
glue,61
mexican,61
sentence,61
milk,61
minimum,61
demand,61
spill,61
tieup,61
closet,61
motivation,61
bored,61
mountain,61
decorate,61
decide,61
boil,61
support,61
swing,61
tie,61
downsize,61
hit,61
hold,61
honey,61
hoodie,61
truck,61
edit,61
can,61
drink,61
juice,61
frown,61
lamp,61
lemon,61
videocamera,61
buckle,61
letter,61
cancer,61
lick,61
hatch,61
lift,61
throw,61
doctor,61
breakdown,61
hat,61
twins,61
underwear,61
turkey,61
noon,61
shoot,61
baby,61
greet,61
cream,61
crawl,61
plow,61
shovel,61
witch,61
trip,61
rabbit,61
corkscrew,61
upset,61
believe,61
razor,61
recent,61
fence,61
remember,61
research,61
ride,61
river,61
run,61
axe,61
problem,61
slide,61
erupt,61
blinds,61
pants,61
nut,61
curtsey,61
order,61
guillotine,61
smile,61
soap,61
opinion,61
feed,61
onemore,61
duck,60
convince,60
special,60
tall,60
washface,60
kick,60
blowcandle,60
bandaid,60
cheerleader,60
hear,60
cherry,60
rocket,60
sharp,60
calendar,60
sail,60
call,60
shark,60
saw,60
confused,60
third,60
bee,60
relax,60
cancel,60
load,60
stretch,60
grapes,60
pet,60
sled,60
pinch,60
backpack,60
type,60
stand,60
swim,60
shout,60
live,60
knife,60
cracker,60
fireman,60
dedicate,60
boots,60
leaf,60
wrapup,60
develop,60
tail,60
empty,60
wade,60
guess,59
cheat,59
strain,59
dinosaur,59
roar,59
fishing,59
flag,59
curl,59
snow,59
mop,59
sunbathe,59
trim,59
suspenders,59
lettuce,59
kite,59
takeoff,59
eagle,59
hair,58
they,58
